question,label,correct_answer,option_2,option_3,option_4,option_5,
116. Which of the following indicate functional requirements? A - The users should be allowed to update their contact addresses and phone numbers. B - Any user request must be responded within 2 ms. C - The system must be easy to change. ,,A only ,B only ,C only,A and C only ,"All A,B and C",
117. The following details are given about a software project:A - requirements are fixed (not allowed to change throughout the complete project) B - must deliver the complete software product at once. C - detailed descriptions and specifications must be prepared for each activity within the project What is the most suitable software process model for this project.,,Waterfall,Agile ,Prototype ,Rapid Application Development ,Spiral,
118. Which of the following statements on Data Flow Diagrams (DFD) is incorrect? ,,All data stores in a system must be represented in the context diagram. ,Context diagram is a DFD with the highest level of abstraction. ,Data flows are used to link the other components in DFDs. ,Elementary processes are not decomposed further. ,External entities in DFDs act as sources or recipients of data.,
119. What is the correct SQL statement to delete a database called 'ALdb'?,,drop database ALdb; ,delete ALdb;,delete database ALdb; ,drop ALdb; ,remove database ALdb;,
120. Which of the following statement/s regarding the logical database schema are true? A - It is a blueprint for a database. B - It contains data and information. C - It formulates all the constraints that are to be applied on the data. ,,A and C only,A only ,A and B only,B and C only ,"All A, B and C",
121.The decimal number equivalent to the 1001112 is ,,39,40,38,37,36,
"123. Which of the following statements about quantum computing are correct? A - In quantum computing, principles of quantum physics are applied. B - Quantum bits (qubits) are used in quantum computing as the information unit.C - Quantum computers emit radiation fatal to human users. ",,A and B only ,A only ,B only,C only ,"All A, B and C",
124. Use of public key and private key in encryption and decryption processes is called,,asymmetric encryption. ,digital encryption.,symmetric encryption,hybrid encryption. ,private key encryption.,
"125. In a particular network, each node is connected directly to a central network device. This topology is referred to as a",,star.,bus.,hybrid.,mesh.,ring. ,
126. Consider the following activities related to e-commerce: A - online purchase of a pair of shoes. B - online purchase of an e-book of your favourite novel. C - online booking of a taxi to the airport from your home Which of the above activities represent/s the pure-click type business model.,,B and C only,B only ,C only ,A and C only ,A only ,
"127. A software development company identifies that their new system development project has complex requirements and has a medium to high risk level. Further, an evaluation is needed to clear the requirements and significant changes are expected during system development. What is the most suitable software development process model for this project? ",,spiral ,agile ,prototyping ,rapid application development,waterfall,
128. Which of the following made a significant contribution to the growth of Information and Communication Technology (ICT) usage? A - exponential progress of the semiconductor technology paving the way for low cost hardware. B - introduction of user-friendly software and interfaces to computers. C - merge of computer and communication technologies to produce smart and mobile devices.,,"All A, B and C",B and C only ,A only ,B only ,A and C only,
"129. A smart environment can be created by having an interconnected network of hardware devices, sensors, connectivity and required software, which is often referred to as the Internet of Things (IoT). Which of the following statements is correct about IoT? ",,The Internet connectivity is not essential for an IoT setup to function.,Every IoT device or item must be connected using UTP cables. ,If any item of the IoT setup fails to operate the entire IoT setup will be shutdown. ,IoT environments cannot be monitored and controlled remotely.,Modern smart mobile phones cannot be connected to an IoT setup. ,
130. Which of the following indicates a non-functional requirement? A - A user shall be allowed to upload an image to the system to be used as his/her profile picture. B - The correct invoice value should be calculated including applicable tax rates at the check-out. C - The system must satisfy 99.9% availability of service. ,, C only ,A only,B only,A and B only M148A132F130:M144F130:M152F130:L156A132F130:M144F130:I155F130:I15E130:F146,"All A, B and C",
131. Which of the following represents the result of the binary arithmetic operation of 11001100 - 01010101? ,,1110111,110011,1100110,10011001,10101010,
132. Which of the following statements is/are correct about two's complement? A - Subtraction is carried out as addition.B - Calculations are more efficient. C - It is possible to represent negative numbers within the two’s complement.,,"All A, B and C",A only ,B only ,A and B only ,B and C only ,
133. Which of the following are the properties of a signal?,,"Amplitude, Frequency, Phase and Time ","Amplitude, Clock time, Frequency and Wavelength","Amplitude, Frequency, Phase and Wavelength","Amplitude, Frequency, Time and Wavelength ","Amplitude, Impulse, Phase and Wavelength",
134. Which of the following options contains only guided media?,,"Coaxial, Fiber optics and Twisted pair ","Coaxial, Fiber optics and Infrared ","Coaxial, Fiber optics and Microwave ","Coaxial, Infrared and Twisted pair","Fiber optics, Satellite communication and Twisted pair",
135. The frequency modulation technique is used to change only,,the frequency.,the amplitude and frequency. ,"the amplitude, frequency and phase. ",the amplitude and phase.,the frequency and phase,
136. What is the binary equivalent to decimal 54.25 ?,,110110.01,11111.11,101010.01,110110.01,111011.1,
137. Which one of the following is false regarding the HTML form methods GET and POST? ,,GET method is more suitable to send sensitive data. ,Both methods are used to transfer data from client side to the server. ,GET method is more efficient than the POST method. ,POST method does not have a limit on size of data. ,POST requests cannot be bookmarked.,
138. What is the correct statement related to system deployment?,,In parallel deployment old and new systems are used at the same time. ,Direct deployment is the most complex and the slowest form of deployment. ,"In pilot deployment, all the users have the ability to use the system at the beginning. ",Phased deployment do not allow users to develop skills required for new system gradually. ,Phased deployment means the entire system is used in one location.,
"139. Consider the following statements: Which of the above statements are correct? A - A hub connects only the networked computers but a switch connects multiple devices. B - A switch manages the ports and the VLAN security settings.C - In data transmission, a hub uses bits while a switch uses frames and packets. D - The data transmission speed in a hub is higher than that in a switch.  ",,"A, B and C only ","A, B and D only ","A, C and D only ","B, C and D only","All A, B, C and D",
140. Consider the following statements about the proxy server: Which of the above statements are correct? A - It helps to hide the true IP address. B - It is used to restrict the access of the website in the network. C - It uses the cached data for the quick loading of regularly accessed websites. D - It helps to detect the locations of the visitors and load web pages as per their needs. ,,"A, B and C only ","A, B and D only ","A, C and D only ","B, C and D only ","All A, B, C and D",
141. Which of the following statements is correct? ,,Programs in some high-level languages are translated into a form called byte-code because such byte-codes execute faster than machine codes obtained by usual compilations.,A high level language program that is translated into machine code and executed on computer X will not execute on another computer having the same processor as X.,A program in a high-level language must be first converted into assembly language code before converting into machine code. ,Interpreted programs run faster than compiled ones.,Some modern processors execute programs in high-level languages without translating them into machine code.,
142. What is the value of the following Python expression? (100 // 3) % 4 | 8 ,,9,0,0.125,3,8,
143. Which of the following describes the term ‘telecommuting’? ,,ability of an employee to perform duties conveniently from different geographical locations using modem technology,having online meetings with people at different geographic locations ,using ICT for community services ,using web-based applications to retrieve information,performing financial transactions online,
144. Consider the following statements. Which of the above statements is/are correct? A - DHCP server in an IP network dynamically allocates IP addresses to network devices. B - DNS server translates domain names to IP addresses.C - FTP server caches the recently accessed web pages.,,A and B only ,A only,B only,B and C only ,"All A, B and C",
"145. In the OSI reference model, the network layer is responsible for ............................. communication. Which of the following is suitable to fill the blank in the above statement? ",,source to destination ,node to node ,hop to hop ,switch to router,process to process,
146. Which of the following indicates the number of host bits and the number of IP addresses respectively in a class C network? ,,8 and 256,8 and 65536 ,16 and 256 ,16 and 65536 ,24 and 256,
147. To which of the following network classes does the IP address 192.248.254.1 belong?,,C ,A ,B ,D,E,
"148. In the OSI reference model, a protocol data unit of the network layer is referred to as a ...................... Which of the following terms is suitable to fill the blank in the above statement?",,packet,frame ,segment ,window ,message,
149. Consider the space voyage for landing a human being on the surface of the moon for the first time in 1969. The entire event was broadcast on the radio in Sri Lanka by several commentators based in Sri Lanka and the USA. Which of the following events relates to the highest value of information?,,the moment the astronaut Neil Armstrong placed his first step on the surface of the moon ,counting down for the launching of the rocket that carried the space shuttle,the moment the space shuttle escaped from the gravitational field of the earth,the moment the space shuttle entered the moon’s gravitational field ,the moment the astronauts landed on the sea in their return voyage to Earth,
150. Consider the following statements related to the development of computers over time. Which of the above statements is/are correct?A - Both processing speed and power consumption of computers have increased. B - Processing speed of a computer has increased while physical size of a computer has decreased.C - Both power consumption and the physical size of a computer have reduced. ,,B and C only,A only ,B only ,A and B only ,"All A, B and C",
151.The smallest unit of data that a computer can process is:,, Bit,Byte,Word,Nibble,Field,
152.Which of the following is NOT an output device?,,Trackball,Plotter,Speaker,Monitor,Printer,
153.The binary equivalent of decimal 25 is:,,11001,11101,10111,10011,11011,
154.The decimal value of binary 101011? is:,,43,41,45,47,39,
155.1 KB equals:,,1024 bytes,1000 bytes,124 bytes,2048 bytes,512 bytes,
156.Which memory is volatile?,,RAM,ROM,HDD,SSD,CD-ROM,
157.ASCII uses ___ bits.,,7,4,8,16,2,
158.The component responsible for arithmetic operations is:,,ALU,CU,RAM,ROM,SSD,
159.Which port is used to connect a monitor?,,VGA/HDMI,USB,RJ45,PS/2,SATA,
160.The hexadecimal equivalent of binary 11101110 is:,,EE,EF,ED,DF,DD,
161.Two's complement representation is used for:,,Negative integers,ASCII,Floating numbers,,Images,
162.Which of the following is NOT an example of secondary storage?,,RAM,HDD,DVD,Pen drive,SSD,
163.A microprocessor is an example of:,,CPU-on-chip,Input device,Output device,Storage unit,Software,
164.Floating point numbers are represented using:,,IEEE 754,ASCII,RISC,Cache,RAID,
165.Convert 7A?? to decimal:,,122,112,121,135,140,
166.A nibble consists of:,,4 bits,2 bits,6 bits,8 bits,3 bits,
167.The purpose of cache memory is to:,,Increase speed by storing frequently accessed data,Store permanent data,Provide backup,Connect devices,Act as ROM,
168.Which is a solid-state device?,,SSD,CD-ROM,HDD,Blu-ray,FDD,
168.The register that stores the address of the next instruction is:,,PC,MAR,MDR,ACC,IR,
169.Which storage device uses magnetic technology?,,HDD,SSD,DVD,CD,Pen drive,
170.The output of an AND gate is 1 when:,,All inputs are 1,Both inputs are 0,Any input is 1,Only one input is 0,None of the above,
171.The Boolean expression A + A'B simplifies to:,,A,B,A + B,AB,A',
172.A NOT gate has:,,1 input,2 inputs,1 output,3 inputs,No outputs,
173.The truth table of an OR gate outputs 0 only when:,,"A=0, B=0","A=1, B=0","A=0, B=1","A=1, B=1",A=B=1,
174.XOR gives output 1 when:,,Inputs are opposite,Inputs are equal,Both inputs are 1,Both inputs are 0,Always,
175.ALU stands for:,,Arithmetic Logic Unit,Application Layer Unit,Analog Logic Unit,Active Logic Utility,None,
176.The instruction cycle includes:,,"Fetch, Decode, Execute",Fetch only,Execute only,Decode only,Store only,
177.A multiplexer selects:,,One output from many inputs,Many outputs from one input,Binary numbers,RAM blocks,Cache lines,
178.Boolean expression AB + A’B simplifies to:,,B,A + B,A,AB,A’,
179.De Morgan’s law:,,(XY)’ = X’ + Y’,(X+Y)’ = X+Y,X+XY = X,XY+X = Y,None,
180.Which device assigns IP addresses dynamically?,,DHCP server,Switch,Router,Hub,Firewall,
181.Which protocol is used for sending email?,,SMTP,FTP,POP3,HTTP,ARP,
182.Primary key cannot contain:,,Duplicates,Text,Duplicates,Characters,Floats,
"183.In HTML, <br> is used for:",,New line,Bold text,Link,Table row,Header,
184.Which language is used for styling web pages?,,CSS,HTML,SQL,PHP,XML,
185.Which is NOT malware?,,Firewall,Trojan,Worm,Virus,Ransomware,
186.SQL command used to remove a table:,,DROP,DELETE TABLE,DROP,CLEAR,TRUNCATE,
187.1 IPv4 address consists of:,,32 bits,16 bits,48 bits,64 bits,128 bits,
188.Which of the following is a mobile OS?,,Android,Windows,Android,Fedora,Kali,
189.What is the default port of HTTP?,,80,23,21,110,8080,
190.Which one is NOT an input device?,,Projector,Barcode reader,Scanner,Joystick,Microphone,
191.The loop that executes at least once:,,do-while,for,while,switch,repeat,
193.Which is a relational database?,,MySQL,MongoDB,Neo4j,Redis,Cassandra,
194.OS responsible for managing:,,Hardware,HTML pages,SQL queries,Cloud apps,Animation,
195.Which is a high-level language?,,Python,Machine code,Python,Opcode,Register code,
196.Full-duplex communication allows:,,Two-way simultaneously,One-way,Two-way but not at same time,No communication,Half-speed,
197.Firewall works at which layer?,,Network,Physical,Data link,Session,iCloud,
198.1 nibble =,,4 bits,2 bits,8 bits,16 bits,32 bits,
199.Which SQL clause filters records?,,WHERE,SELECT,WHERE,SORT,GROUP,
200.A compiler converts:,,High level ? Machine,Machine ? Assembly,CPU ? Memory,HTML ? CSS,Machine ? High level,
201.Which is NOT a loop?,,switch,for,while,do-while,nested loop,
202.Bitmap images are made of:,,Pixels,Objects,Vectors,XML,HTML,
203.URL stands for:,,Uniform Resource Locator,User Resource Link,Universal Record List,Unique Resource Logger,Universal Review List,
204.TCP is:,,Connection-oriented,Connectionles,Wireless,Security protocol,Encoding method,
205.A Trojan requires:,,Human execution,Network,Browser,Database,Firewall,
206.Which is NOT part of CPU?,,Monitor,ALU,CU,Registers,Cache,
207.Topology with a central device:,,Star,Bus,Ring,Mesh,Hybrid,
208.Which is a markup language?,,HTML,Java,C++,Python,Ruby,
209.XOR gate outputs 1 when:,,Inputs differ,Both 0,Both 1,Always,Never,
210.The main memory is also called:,,RAM,Secondary,Auxiliary,Cache,BIOS,
211.Which is an example of system software?,,Linux,Browser,MS Word,Photoshop,VLC,
212.Which number system uses digits 0–7?,,Octal,Binary,Hexadecimal,Decimal,Base-12,
213.IP address 192.168.1.25 belongs to:,,Private IP,Public IP,Loopback,IPv6,Multicast,
214.GUI stands for:,,Graphical User Interface,General User Interface,Global Utility Interface,Graphics Unit Integrator,None,
215.Which is NOT a data type in SQL?,,IMAGE,VARCHAR,DATE,FLOAT,INT,
216.A floppy disk stores data using:,,Magnetism,Laser,Electricity,Wireless,Light,
217.Which is used to protect passwords online?,,Hashing,Sorting,Formatting,Parsing,Backing up,
218.The decimal of binary 111001? is:,,57,59,61,49,60,
219.Which device boosts signal in networks?,,Repeater,Hub,Bridge,NIC,Server,
220.Which is NOT a characteristic of OOP?,,Compilation,Inheritance,Encapsulation,Polymorphism,Abstraction,
221.HTML tables use,,<td>,<tb>,<tm>,<pg>,<trb>,
222.Which file extension is for Cascading Style Sheets?,,.css,.html,.sql,.exe,.dat,
223.Which is NOT a cyberattack?,,Encryption,Phishing,Sniffing,DDoS,SQL injection,
224.Which tool is used for network diagnostics?,,All,ping,ipconfig,tracert,netstat,
225.Storage that loses data when power is off:,,RAM,ROM,SSD,CD,HDD,
226.A flowchart symbol for decision is:,,Diamond,Rectangle,Circle,Arrow ,Oval,
227.The process of finding errors in code is:,,The process of finding errors in code is:,Parsing,Running,Compiling,Sorting,
228.The unit of bandwidth:,,Mb/s,GB,Hz,DPI,MHz,
229.Which is a biometric authentication?,,Face ID,Password,PIN,Captcha,QR code,
230.A variable that stores TRUE/FALSE:,,boolean,int,char,long,float,
231.Which one defines the structure of a web page?,,HTML,SQL,CSS,Java,C++,
232.The protocol responsible for transferring files:,,FTP,DHCP,SMTP,DNS,ARP,
233.A ring topology has:,,Circular path,Hub,Switch,Mesh links,Tree links,
234.The main purpose of DNS:,,Convert domain names to Ips,Encrypt files,Filter emails,Virtualization,Generate HTML,
235.Which is NOT a search engine?,,Opera,Google,Bing,Yahoo,DuckDuckGo,
236.Hexadecimal A7 in decimal:,,157,160,167,189,191,
237.Who invented WWW?,,Tim Berners-Lee,Bill Gates,Alan Turing,Linus Torvalds,Babbage,
238.What does SQL stand for?,,Structured Query Language,System Query Logic,Simple Query List,Sequential Query Layer,Standard Quick Language,
239.IPv6 uses:,,128 bits,32 bits,128 bits,256 bits,512 bits,
240.One-to-many relationship shown using:,,1:M,1:01,M:M,Hierarchical,None,
241.LAN stands for:,,Local Area Network,Low Area Node,Logical Access Node,Linear Array Network,Local Access Name,
242.A stack uses:,,LIFO,FIFO,Random,Mapping,Hashing,
243.Which is a server OS?,,Ubuntu Server,Windows 10,Android,iOS,ChromeOS,
244.A field that uniquely identifies a record:,,Primary key,Foreign key,Index,Attribute,Unique key,
245.Software piracy refers to:,,Illegal copying,Data backup,Debugging,Cloud computing,RAM usage,
246.Which is NOT an example of e-commerce?,,WhatsApp,eBay,Amazon,Booking.com,AliExpress,
247.An IP address is assigned to:,,Device,Switch,Cable,RAM,Barcode,
248.Cookies are stored in:,,Client browser ,Server,RAM,Firewall,Database,
249.GUI element:,,Icon,Command line,Opcode,Binary,ASCII,
250.The process of turning plaintext into unreadable text:,,Encryption,Decryption,Encoding,Transmission,Conversion,
251.Which uses tags?,,HTML,SQL,CSS,Python,C,
252.The brain of a computer:,,CPU,RAM,SSD,GPU,Chipset,
253.Which is NOT in the SDLC?,,Debugging,Analysis,Testing,Maintenance,Design,
254.Wi-Fi uses:,,Radio waves,Light,Sound,Cable,Metal fibers,
256.ASCII supports:,,128 chars,64 chars,128 chars,512 chars,Unlimited,
257.Which is NOT an OS?,,Java,Windows,Linux,Android,MacOS,
258.The smallest network type:,,PAN,LAN,MAN,WAN,SAN,
259.Bluetooth is used for:,,Short-range comm.,Long-range comm.,NFC,Satellite comm.,Telephone lines,
260.RAM speed measured in:,,MHz,DPI,Joules,Mbps,Hz,
261.Which is NOT a database model?,,Linear,Hierarchical,Network,Linear,Object-oriented,
262.HTML stands for:,,Hyper Text Markup Language,High Transfer Markup Language,Hyperlink Text Machine Layout,Hyper Transfer Main Language,Home Text Markup List,
263.A packet is dropped when:,,Queue full,Ping fails,Password wrong,HTML error,DNS error,
264.The device that breaks a network into segments:,,Bridge,Switch,Hub,Router,Modem,
265.Optical fiber uses:,,Light pulses,Copper wires,Ultrasonic waves,Light pulses,Electricity,
266.OCR is used to recognize:,,Text in images,Voice,Images,Videos,Barcodes,
267.A variable’s scope refers to:,,Lifetime/visibility,Data type,Size,Value,Symbol,
268.SQL command to add data:,,INSERT,UPDATE,ADD,PUSH,MODIFY,
269.Which network device filters traffic by MAC?,,Switch,Router,Hub,Repeater,Modem,
270.DDoS means:,,Distributed Denial of Service,Double Data Over System,Download Data over Server,Digital Device Operating Standard,None,
271.Java is a:,,Both compiled & interpreted,Compiled language,Interpreted language,Machine-level language,Hardware language,
272.Flowchart start/end symbol:,,Oval,Rectangle,Diamond,Circle,Parallelogram,
273.A kilobit equals:,,1000 bits,100 bytes,1024 bytes,1000 bits,512 bits,
274.Software that controls hardware:,,System software,Application,Antivirus,Database,Browser,
275.Which protocol ensures reliable delivery?,,TCP,UDP,IP,HTTP,FTP,
276.Which of the following is an example of an input device?,,Scanner,Plotter,Speaker,Monitor,,
277.Which register holds the memory address of the next instruction to be fetched?,,PC,MAR,IR,MDR,AC,
278.What type of addressing mode uses a constant value within the instruction?,,Immediate,Direct,Indirect,Indexed,Relative,
279.Which of the following is NOT a characteristic of RISC architecture?,,Complex addressing modes,Pipelining support,Simple instructions,Large number of registers,Fixed-length instructions,
280.The ALU performs operations based on control signals from the:,,CU,MAR,Program Counter,Stack Pointer,MDR,
281.Which memory type uses charge leakage that requires refreshing?,,DRAM,SRAM,ROM,Cache,Flash,
"282.During an interrupt, the CPU first:",,Saves PC,Enables DMA,Executes ISR directly,Clears registers,Restarts OS,
283.The time taken to position the read/write head on the correct track is:,,Seek Time,Latency,Transfer Time,Bandwidth,Hit Ratio,
284.Cache memory improves performance by:,,Storing frequently used data,Storing all programs,Increasing RAM size,Reducing disk usage,Reducing CPU clock,
285.Which bus carries actual data to/from memory?,,Data Bus,System Bus,Address Bus,Control Bus,On-Chip Bus,
286.A 3 GHz processor completes approximately how many cycles per second?,,3 billion,3 million,3 trillion,30 billion,300 million,
287.What is the 2’s complement of binary 01011011??,,10100101,10100110,11011011,100101,1011011,
288.Convert 7A?? to decimal.,,118,120,122,124,106,
289.(101110.01)? = ? in decimal,,46.25,46.5,44.25,45.25,45.5,
290.Which gate gives output 1 only when both inputs are 0?,,NOR,AND,OR,NAND,XOR,
291.Simplify: A + A’B,,A,B,A + B,A’B,AB,
292.Gray code is mainly used to:,,Reduce transition error,Store characters,Encryption,Floating-point operations,Reduce memory size,
293.How many bits are needed to represent 256 values?,,8,7,9,10,4,
294.IEEE 754 single-precision floating-point uses:,,32 bits,16 bits,48 bits,64 bits,24 bits,
295.Which Boolean identity states A + 1 = 1?,,Domination,Idempotent,Identity,Absorption,Involution,
296.Which gate is a universal gate?,,NAND,XOR,AND,XOR,OR,
297.Virtual memory is primarily implemented through:,,Paging,Fragmentation,Spooling,Caching,Deadlock prevention,
298.A process in the “Ready” state is:,,Waiting for CPU,Waiting for I/O,Currently executing,Terminated,Deadlocked,
299Thrashing occurs when:,,Page faults are high,Cache misses increase,Disk is full,CPU overheats,OS crashes,
300.A semaphore with value 1 acts as a:,,Mutex,Barrier,Pipe,Signal,Queue,
"301.In round-robin scheduling, performance mainly depends on:",,Time quantum,Number of jobs,Time quantum,Context switch,Thread count,
302.Which of the following is NOT a deadlock condition?,,Preemption,Mutual exclusion,Circular wait,Hold and wait,No preemption,
303.Fragmentation that occurs outside allocated memory blocks is:,,External,Internal,Physical,Logical,Dynamic,
304.The OS component that manages user logins is:,,Shell,Kernel,Scheduler,Loader,Device driver,
305.UNIX treats everything as a:,,File,Disk,Process,Program,Device,
306.A zombie process occurs when:,,It completes but parent doesn't read status,It deadlocks,It is swapped out,It loops infinitely,It lacks memory,
307.Which IEEE standard defines Wi-Fi?,,802.11,802.1,802.2,802.11,802.15,
308.TCP operates at which layer?,,Transport,Physical,Network,Transport,Application,
309.Private IP range includes:,,192.168.0.0/16,8.8.8.8,1.1.1.1,140.32.0.0,210.45.0.0,
310.A switch builds:,,MAC table,IP table,Routing table,Port table,DNS table,
311.Which protocol resolves MAC address from IP address?,,ARP,DNS,DHCP,FTP,ICMP,
312.Propagation delay depends on:,,Distance,Packet size,Bandwidth,Queue time,Error rate,
313.HTTP is:,,Stateless,Session-based,Connectionless,Encrypted,Stateful,
314.IPv6 address size:,,128 bits,32 bits,48 bits,128 bits,256 bits,
315.UDP is suitable for:,,Voice calls,Banking,Voice calls,Database sync,Email,
316.CSMA/CD is used in:,,Ethernet,Wi-Fi,Bluetooth,Fiber channel,WAN,
"317.In OOP, polymorphism allows:",,"Same interface, different implementation",Multiple inheritance,Data hiding,Code duplication,Faster execution,
318.Which sorting algorithm has O(n log n) average case?,,Merge sort,Bubble,Selection,Linear search,Insertion,
319.SQL command to remove a table:,,DROP,DELETE,ERASE,CLEAR,REMOVE,
320.The highest normal form in A/L syllabus:,,3NF,1NF,BCNF,4NF,2NF,
321.Which is a DDL command?,,CREATE,UPDATE,INSERT,DELETE,SELECT,
322.CSS stands for:,,Cascading Style Sheets,Cascading Style Sheets,,Computer Style Script,Component Style Sheet,
323.JavaScript is:,,Interpreted,Compiled,Low-level,OS dependent,Machine code,
324.Which HTTP method is idempotent?,,PUT,POST,PATCH,CONNECT,TRACE,
325.XSS is a vulnerability in:,,Browser,Hardware,Network layer,OS kernel,Physical layer,
326.Hashing is used for:,,One-way transformation,Reversing data,Compression,Encryption,Parity checking,
327.Firewall operates mainly at:,,All above,Data link,Network,Transport,Application,
328.JSON is primarily used for:,,Structuring data,Styling,Image editing,Encryption,Multimedia,
329.The SQL clause that groups rows:,,GROUP BY,ORDER BY,JOIN,LIKE,HAVING,
330.Which is NOT a NoSQL type?,,Relational,Key-value,Relational,Graph,Column-family,
331.A compiler converts:,,High-level ? Machine,Machine ? High-level,Code ? Binary pictures,Hardware ? Software,Algorithm ? Flowchart,
332.Which is NOT a characteristic of OOP?,,Denormalization,Encapsulation,Inheritance,Abstraction,Denormalization,
333.Which is used to test web API?,,Postman,MySQL,Wireshark,VS Code,Docker,
334.SSL/TLS operates at:,,Transport,Physical,Data link,Application,Network,
335.A strong password must include:,,Mixed characters,Only letters,Same repeated numbers,,Only numbers,
336.Which of the following best describes a stored-program computer architecture?,,Instructions stored in main memory,Data and instructions stored on external devices only,CPU directly executes instructions from cache only,Data stored in ROM and instructions in RAM,Instructions permanently embedded in CPU,
337.Which binary number represents the 2’s complement of 01101001?,,10011000,10010111,1101010,11101000,10010110,
338.Which gate produces HIGH output only when all inputs are HIGH?,,AND,XOR,OR,NAND,NOR,
339.Which of the following is NOT a characteristic of RISC architectures?,,Complex addressing modes,Simple instruction set,Single-cycle instruction execution,Large number of registers,Uniform instruction length,
340.The primary purpose of cache memory is to:,,Reduce average memory access time,Store permanent data,Increase disk read speed,Replace RAM,Increase ROM reliability,
341.Which of the following is NOT a feature of a real-time operating system?,,High latency tolerance,Deterministic response time,Priority-based scheduling,,Interrupt handling,
342.Which normal form removes transitive dependencies?,,3NF,1NF,2NF,BCNF,4NF,
343.Which protocol operates at the Network Layer?,,IP,TCP,FTP,SMTP,ARP,
344.Which device works at both Layer 2 and Layer 3?,,Switch,Hub,Repeater,Gateway,Amplifier,
345.What is the purpose of the program counter (PC) in a CPU?,,Holds next instruction address,Stores general data,Holds current instruction,Controls ALU,Stores interrupt ID,
346.Which algorithm is commonly used for disk scheduling?,,SCAN,DFS,Round Robin,FIFO,Dijkstra,
347.Which SQL clause restricts rows returned by a query?,,WHERE,GROUP BY,ORDER BY,HAVING,SELECT,
348.Which RAID level provides disk mirroring?,,RAID 1,RAID 0,RAID 2,RAID 5,RAID 10,
349.Which data type is NOT primitive in Java?,,string,int,float,boolean,string,
350.Which is an example of asymmetric encryption?,,RSA,AES,3DES,Blowfish,RC4,
351.Which device separates collision domains?,,Switch,Repeater,Hub,Modem,Access Point,
352.What is the main purpose of cache memory?,,Improve CPU speed,Store I/O drivers,Increase secondary storage,Reduce memory fragmentation,Store OS kernel,
353.The primary key in a table must be—,,Unique,Repeated,Null,Composite only,Text only,
354.Which of the following is a lossless compression method?,,GIF,MPEG,JPEG,MP4,MP3,
355.Which network topology has the highest redundancy?,,Mesh,Bus,Star,Tree,Ring,
356.What is the primary purpose of an interrupt?,,Handle I/O events,Boot the OS,Execute loops,Allocate memory,Switch processes,
357.Which IP class supports 16 million hosts?,,Class A,Class B,Class C,Class D,Class E,
358.Which is a relational algebra operation?,,Projection,Encryption,Sorting,Updating,Compiling,
359.Which cyberattack attempts to guess passwords by trying all combinations?,,Brute Force,Phishing,SQL Injection,Denial of Service,Spoofing,
360.Which device converts digital to analog signals?,,Modem,Hub,Modem,Router,Repeater,
361.Which sorting algorithm has the best average-case performance?,,Quick Sort,Bubble Sort,Quick Sort,Merge Sort,Selection Sort,
362.Which of the following is NOT an attribute of cloud computing?,,,,,,,
363.Which OS scheduling algorithm may cause starvation?,,SJF,FIFO,Round Robin,FCFS,Lottery scheduling,
364.Which data structure uses FIFO?,,Queue,Heap,Stack,Tree,Graph,
365.Which addressing mode uses the instruction operand as the actual data?,,Immediate,Direct,Indirect,Register,Indexed,
366.Which is an example of non-volatile memory?,,ROM,RAM,Cache,Registers,L1 Cache,
367.Which layer provides encryption in the OSI model?,,Presentation,Physical,Data Link,Network,Application,
368.Which is a characteristic of an expert system?,,Rule-based reasoning,Self-learning,Neural computation,Genetic algorithms,Hardware dependent,
369.Which of the following best describes a “stored-program concept”?,,Instructions and data are stored in the same memory,Programs reside permanently in CPU registers,Instructions and data are stored in the same memory,Instructions are stored only on secondary storage,Memory can hold only program instructions,
370.Which Boolean expression is equivalent to AB + A'B?,,B,A + B,AB',A,A' + B',
371.Which addressing mode uses the value inside a register as the memory address?,,Register Indirect,Immediate,Register,Indexed,Register,
372.Which of the following is NOT a characteristic of RISC architecture?,,Large instruction set,Single-cycle execution,Simple addressing modes,Hard-wired control unit,Uniform instruction length,
"373.In database systems, “atomicity” ensures that:",,All parts of a transaction complete or none do,Only valid data enters the database,Data remains consistent during failures,Multiple users can access without conflict,Data recovers automatically from failures,
374.Which of the following sorting algorithms has the best average-case complexity?,,Merge Sort,Bubble Sort,Selection Sort,Merge Sort,Shell Sort,
375.Which system development model allows repeating phases to refine requirements?,,Spiral,Waterfall,V-Model,Prototype without iterations,RAD without user feedback,
376.RAID 5 provides fault tolerance using:,,Parity distributed across disks,Mirroring,Striping only,Dedicated parity disk,No redundancy,
377.The main purpose of cache memory is to:,,Reduce average memory access time,Store OS files permanently,Increase CPU clock speed,Store user data,Improve network performance,
378.Which of the following best describes “normalization”?,,Reducing redundancy in tables,Compressing data,Backing up a database,Measuring database size,Encrypting data,
379.Which of the following is an optical storage device?,,Blu-ray Disk,SSD,Zip Disk,Magnetic Tape,EPROM,
380.Which protocol resolves IP addresses to MAC addresses?,,ARP,TCP,UDP,DHCP,FTP,
381.Which data structure works on FIFO?,,Queue,Stack,Tree,Heap,Graph,
382.A NAND gate gives output 0 only when:,,Both inputs are 1,Both inputs are 0,One input is 1,Both inputs are 1,One input is 0,
383.Which is NOT a characteristic of object-oriented programming?,,Machine dependency,Encapsulation,Inheritance,Polymorphism,Machine dependency,
