question_id,question_text,ideal_answer,keywords_main,keywords_optional,marks,Topics
Q172,What is 'Deadlock' in an Operating System?,A situation where a set of processes are blocked because each process is holding a resource and waiting for another resource held by some other process.,processes blocked | holding waiting resources,freezing | circular wait,,Operating Systems
Q173,What is 'Starvation' in OS?,A problem where a process is perpetually denied necessary resources to process its work.,perpetually denied resources |  process blocked,scheduling |  priority,,Operating Systems
Q174,What is a 'GUI' (Graphical User Interface)?,An interface that allows users to interact with electronic devices through graphical icons and visual indicators.,interact through icons | visual indicators,user-friendly | mouse,,Operating Systems
Q175,What is a 'CLI' (Command Line Interface)?,An interface that processes commands to a computer program in the form of lines of text.,processes commands |  text lines,terminal |  command prompt,,Operating Systems
Q176,What is 'Open Source Software'?,"Software with source code that anyone can inspect, modify, and enhance (e.g., Linux).",source code available | inspect modify,free |  community,,ICT and Society
Q177,What is 'Proprietary Software'?,"Software that is owned by an individual or a company, usually with restrictions on its use and source code kept secret (e.g., Windows).",owned by company | restrictions |  source code secret,closed source|  commercial,,ICT and Society
Q178,What is 'Malware'?,"Malicious software designed to cause damage to a computer, server, client, or computer network.",malicious software | cause damage,virus |  harmful,,ICT and Society
Q179,What is a 'Computer Virus'?,"A type of malware that, when executed, replicates itself by modifying other computer programs and inserting its own code.",replicates itself |  modifies programs,malware|  infection,,ICT and Society
Q180,What is a 'Trojan Horse'?,"Malware that misleads users of its true intent, often disguising itself as legitimate software.",misleads users | disguises as legitimate,malware | backdoor,,ICT and Society
Q181,What is 'Spyware'?,Software that aims to gather information about a person or organization without their knowledge.,gather information | without knowledge,malware | tracking,,ICT and Society
Q182,What is 'Ransomware'?,A type of malware that threatens to publish the victim's data or perpetually block access to it unless a ransom is paid.,threatens to block access | ransom paid,encryption |  extortion,,ICT and Society
Q183,What is a 'Logic Gate'?,"A physical electronic device implementing a Boolean function, performing a logical operation on one or more binary inputs.",Boolean function |  logical operation,digital circuit |  building block,,Building Blocks of IS
Q184,What is a 'NAND' Gate?,A logic gate that produces a LOW output (0) only if all the inputs are HIGH (1); it is a universal gate.,LOW if all HIGH | universal gate,opposite of AND |  digital,,Building Blocks of IS
Q185,What is a 'NOR' Gate?,A logic gate that produces a HIGH output (1) only if all the inputs are LOW (0).,HIGH if all LOW |  universal gate,opposite of OR |  digital,,Building Blocks of IS
Q186,What is a 'XOR' (Exclusive OR) Gate?,A digital logic gate that gives a true (1) output when the number of true inputs is odd (or typically when inputs are different).,1 when inputs different |  exclusive,parity |  addition,,Building Blocks of IS
Q187,What is a 'Combinational Circuit'?,"A digital logic circuit where the output depends only on the present combination of input variables (e.g., Adder).",output depends on inputs | no memory,adder | decoder,,Building Blocks of IS
Q188,What is a 'Sequential Circuit'?,A logical circuit where the output depends on the present value of the input signals as well as the sequence of past inputs (has memory).,output depends on past inputs | has memory,flip-flop | counter,,Building Blocks of IS
Q189,What is a 'Half Adder'?,A combinational circuit that adds two single binary digits and produces a sum and a carry bit.,adds two bits | sum and carry,combinational |  arithmetic,,Building Blocks of IS
Q190,What is a 'Full Adder'?,A combinational circuit that adds three bits (two inputs and a carry-in) and outputs a sum and a carry-out.,adds three bits | sum and carry-out,arithmetic | cascading,,Building Blocks of IS
Q191,What is a 'Flip-Flop'?,A circuit that has two stable states and can be used to store state information (a single bit).,two stable states |  store bit,sequential |  memory,,Building Blocks of IS
Q192,What is 'Octal Number System'?,A base-8 number system that uses digits from 0 to 7.,base-8 |  digits 0-7,number system | representation,,Data Representation
Q193,What is 'Hexadecimal Number System'?,A base-16 number system that uses digits 0-9 and letters A-F.,base-16 |  0-9 A-F,representation | memory addresses,,Data Representation
Q194,What is the 'MSB' (Most Significant Bit)?,The bit in a multiple-bit binary number with the largest value (left-most bit),largest value |  left-most bit,binary |  position,,Data Representation
Q195,What is the 'LSB' (Least Significant Bit)?,The bit in a multiple-bit binary number with the smallest value (right-most bit).,smallest value | right-most bit,binary |  position,,Data Representation
Q196,What is 'Parity Bit'?,A bit added to a string of binary code to ensure that the total number of 1-bits in the string is even or odd (error detection).,added bit |  error detection | even or odd,check bit |  transmission,,Data Representation
Q197,What is 'Sign and Magnitude' representation?,"A method where the most significant bit represents the sign (0 for +, 1 for -) and the remaining bits represent the magnitude.",sign bit |  magnitude,binary representation |  integers,,Data Representation
Q198,What is 'One's Complement'?,A method to represent negative numbers by inverting all the bits of the positive number.,inverting all bits | negative numbers,binary |  arithmetic,,Data Representation
Q199,What is 'Two's Complement'?,"A mathematical operation to represent signed integers, formed by taking the one's complement and adding 1 to the LSB.",one's complement plus 1 |  signed integers,standard | arithmetic,,Data Representation
Q200,What is 'ASCII'?,American Standard Code for Information Interchange; a character encoding standard for text.,character encoding |  text standard,7-bit |  representation,,Data Representation
Q201,What is 'Unicode'?,"An international encoding standard for use with different languages and scripts, by which each letter, digit, or symbol is assigned a unique numeric value.",international standard | different languages |  unique value,UTF-8 |  text encoding,,Data Representation
Q202,What is 'Circuit Switching'?,A method of implementing a telecommunications network in which two network nodes establish a dedicated communications channel (circuit) through the network before the nodes may communicate.,dedicated communications channel |  before communicate,telephone network | physical path,,Networking
Q203,Difference between 'Guided' and 'Unguided' media.,"Guided media uses a physical path (cables) to transmit signals, whereas unguided media transmits signals through the air (wireless).",Guided media uses a physical path (cables) to transmit signals |  whereas unguided media transmits signals through the air (wireless).,cables | radio waves,,Networking
Q204,What is 'Fiber Optic' transmission?,It allows digital data transmission over long distances and at higher data rates than electronic systems by using pulses of light through glass threads.,pulses of light |  glass threads |  long distances,total internal reflection |  high speed,,Networking
Q205,What is the function of a 'Modem'?,A modem (Modulator-Demodulator) converts digital signals from a computer into analog signals for transmission over telephone lines and vice versa,converts digital to analog |  analog to digital,modulation | demodulation,,Networking
Q206,What is 'IP Addressing'?,"A logical addressing scheme used to identify devices on a network, allowing them to communicate with each other (e.g., 192.168.1.1).",logical addressing | identify devices,IPv4 |  IPv6,,Networking
Q207,What is 'Subnetting'?,The practice of dividing a single physical network into two or more smaller logical sub-networks (subnets) to improve efficiency and security.,dividing network |  smaller logical sub-networks,efficiency |  security,,Networking
Q208,Define 'Network Protocol'.,A set of rules and conventions that define how data is transmitted and received over a network,set of rules |  data transmission,communication  |  standards,,Networking
Q209,What is the 'Application Layer' in the OSI model?,"The topmost layer that provides network services directly to end-users and applications (e.g., HTTP, FTP, SMTP).",provides network services | end-users,layer 7 |  interface,,Networking
Q210,What is the 'Presentation Layer' in the OSI model?,It ensures that data is in a usable format and is where data encryption and decryption occur.,usable format |  encryption decryption,translation | layer 6,,Networking
Q211,What is the 'Session Layer' in the OSI model?,"It manages the establishment, maintenance, and termination of connections (sessions) between applications.",establishment maintenance termination |  sessions,dialogue control |  layer 5,,Networking
Q212,What is the 'Transport Layer' in the OSI model?,"It ensures reliable data transfer, flow control, and error correction (e.g., TCP, UDP).",reliable data transfer |  flow control,error correction |  layer 4,,Networking
Q213,What is a 'Derived Attribute' in an ER Diagram?,"An attribute whose value is calculated from other attributes and is not physically stored in the database (e.g., Age derived from Date of Birth).",calculated from other attributes |  not stored,dashed oval |  computation,,DBMS
Q214,What is a 'Multivalued Attribute'?,"An attribute that can hold multiple values for a single entity instance (e.g., Phone Numbers).",multiple values | single entity,double oval |  list,,DBMS
Q215,What is a 'Composite Attribute'?,"An attribute that can be subdivided into smaller sub-parts (e.g., Address into Street, City, Zip).",subdivided |  smaller sub-parts,hierarchy |  structure,,DBMS
Q216,What is 'SQL Injection'?,A code injection technique used to attack data-driven applications by inserting malicious SQL statements into entry fields.,code injection |  malicious SQL statements,security vulnerability | hacking,,DBMS
Q217,What is the 'HAVING' clause in SQL?,It is used to filter records that work on summarized GROUP BY results (similar to WHERE but for groups).,filter records |  summarized results | GROUP BY,condition | aggregate functions,,DBMS
Q218,What is the 'DISTINCT' keyword in SQL?,"It is used to return only distinct (different) values in a result set, eliminating duplicates.",return distinct values |  eliminate duplicates,unique  | query,,DBMS
Q219,What is 'Referential Integrity'?,A database concept ensuring that relationships between tables remain consistent; a foreign key value must match a primary key in the parent table.,relationships consistent |  foreign key match primary key,constraint |  consistency,,DBMS
Q220,What is 'SDLC' (Systems Development Life Cycle)?,"A process for planning, creating, testing, and deploying an information system.",planning creating testing deploying |  information system,software development |  phases,,Systems Analysis
Q221,What is 'Requirement Gathering' in SDLC?,The phase where the needs of stakeholders are identified and documented to determine what the system should do.,needs of stakeholders |  identified documented,functional requirements |  interviews,,Systems Analysis
Q222,What is 'Feasibility Study'?,"An analysis used to determine the viability of an idea, ensuring a project is legally, technically, and economically justifiable.",determine viability |  justifiable,TELOS | analysis,,Systems Analysis
Q223,What is 'Technical Feasibility'?,Assessment of whether the organization has the technology and resources to build the system.,technology resources | build system,hardware software |  capability,,Systems Analysis
Q224,What is 'Economic Feasibility'?,Assessment of the cost-effectiveness of the project (Cost-Benefit Analysis).,cost-effectiveness |  cost-benefit analysis,ROI |  budget,,Systems Analysis
Q225,What is 'Operational Feasibility'?,Assessment of how well the proposed system solves the problems and fits into the organization's operations.,solves problems | fits operations,user acceptance |  workflow,,Systems Analysis
Q226,What is a 'Use Case Diagram'?,A UML diagram that describes the dynamic behavior of a system by showing interactions between actors and the system.,dynamic behavior | actors and system,functional requirements | UML,,Systems Analysis
Q227,What is an 'Actor' in a Use Case Diagram?,An entity (user or other system) that interacts with the system being modeled.,entity |  interacts with system,user |  external system,,Systems Analysis
Q228,What is a 'Sequence Diagram'?,A UML diagram that shows how objects interact with each other in a specific time sequence.,objects interact | time sequence,dynamic modeling | messages,,Systems Analysis
Q229,What is a 'Class Diagram'?,"A static structure diagram that describes the structure of a system by showing the system's classes, their attributes, operations, and relationships.",structure of system |  classes attributes relationships,static modeling |  UML,,Systems Analysis
Q230,What is 'Prototyping'?,Creating an early sample or model of a product to test a concept or process,early sample |  test concept,iterative |  feedback,,Systems Analysis
Q231,What is 'Maintenance' in SDLC?,"The final phase involving correcting errors, improving performance, and adapting the software to a changed environment.",correcting errors |  improving performance,updates |  support,,Systems Analysis
Q232,What is 'Unit Testing'?,Testing individual components or modules of a software application to validate that each unit performs as designed.,individual components |  validate unit,isolated |  developer test,,Systems Analysis
Q233,What is 'Integration Testing'?,Testing where individual units are combined and tested as a group to expose faults in the interaction between integrated units.,combined tested as group | interaction faults,interface |  combined,,Systems Analysis
Q234,What is 'System Testing'?,Testing the complete and integrated software product to verify that it meets specified requirements.,complete integrated product |  meets requirements,end-to-end | validation,,Systems Analysis
Q235,What is 'User Acceptance Testing' (UAT)?,The final phase of testing where the end-user verifies that the system works for the real-world business scenarios.,end-user verifies |  business scenarios,final testing |  sign-off,,Systems Analysis
Q236,What is 'Pseudocode'?,An informal high-level description of the operating principle of a computer program or other algorithm.,informal high-level description | algorithm,readable | planning,,Programming
Q237,What is a 'Logic Error' in programming?,"A bug in a program that causes it to operate incorrectly, but not to terminate abnormally (producing wrong output).",operate incorrectly | wrong output,bug |  algorithm flaw,,Programming
Q238,What is a 'Runtime Error'?,"An error that occurs while the program is running, often causing it to crash (e.g., division by zero).",occurs while running |  crash,exception | execution,,Programming
Q239,What is 'Variable Scope'?,"The region of the code where a variable is visible and accessible (e.g., Local vs Global).",region visible accessible |  local global,access |  lifetime,,Programming
Q240,What is 'Type Casting'?,"The process of converting a value from one data type to another (e.g., Integer to String).",converting value |  one type to another,conversion |  formatting,,Programming
Q241,What is a 'Function Parameter'?,A variable used in a function to refer to one of the pieces of data provided as input to the function.,variable in function | input data,argument|  passing,,Programming
Q242,What is 'Recursion'?,A programming technique where a function calls itself in order to solve a problem.,function calls itself |  solve problem,loop alternative |  base case,,Programming
Q243,What is 'Modular Programming'?,"A software design technique that emphasizes separating the functionality of a program into independent, interchangeable modules.",separating functionality | independent modules,functions |  organization,,Programming
Q244,What is 'Boolean Algebra'?,"A branch of algebra in which the values of the variables are the truth values true and false, usually denoted 1 and 0.",truth values |  1 and 0,logic circuits |  binary,,Building Blocks of IS
Q245,What is a 'Truth Table'?,A table used in logic to compute the functional values of logical expressions on each of their functional arguments.,compute functional values |  logical expressions,input output |  logic gates,,Building Blocks of IS
Q246,What is 'De Morgan’s Law'?,"Rules in Boolean algebra that state the relationship between AND and OR operations (e.g., NAND is equivalent to OR with inverted inputs).",relationship AND OR |  inverted inputs,logic simplification |  theorems,,Building Blocks of IS
Q247,What is a 'Karnaugh Map' (K-Map)?,A method to simplify Boolean algebra expressions by organizing truth table values into a grid.,simplify Boolean expressions | grid,"optimization, | logic design",,Building Blocks of IS
Q248,What is a 'Half Adder'?,A combinational logic circuit that adds two single-bit numbers and produces a sum and a carry.,adds two bits |  sum and carry,arithmetic |  circuit,,Building Blocks of IS
Q249,What is a 'Full Adder'?,A logic circuit that adds three bits (two significant bits and a carry bit) and outputs a sum and a carry.,adds three bits |  sum and carry,arithmetic |  cascading,,Building Blocks of IS
Q250,What is a 'Flip-Flop'?,A sequential logic circuit that can store one bit of data and has two stable states.,store one bit | two stable states,memory | latch,,Building Blocks of IS
